continent,year,problem_num,mean_score
Africa,2008,p4,4.8125
Africa,2008,p5,0.6875
Africa,2008,p6,0
Africa,2009,p1,2.18918918918919
Africa,2009,p2,1.3243243243243243
Africa,2009,p3,0.27027027027027034
Africa,2009,p4,0.6216216216216215
Africa,2009,p5,0.40540540540540554
Africa,2009,p6,0
Africa,2010,p1,5
Africa,2010,p2,0.75
Africa,2010,p3,0
Africa,2010,p4,3.6666666666666665
Africa,2010,p5,0.125
Africa,2010,p6,0.29166666666666663
Africa,2011,p1,4.2333333333333325
Africa,2011,p2,0.03333333333333334
Africa,2011,p3,0.46666666666666656
Africa,2011,p4,2.2333333333333325
Africa,2011,p5,2.2000000000000006
Africa,2011,p6,0.06666666666666668
Africa,2012,p1,4.2857142857142865
Africa,2012,p2,1.6071428571428568
Africa,2012,p3,0.07142857142857145
Africa,2012,p4,2.035714285714286
Africa,2012,p5,0.10714285714285711
Africa,2012,p6,0.035714285714285726
Africa,2013,p1,1.681818181818182
Africa,2013,p2,0.8181818181818181
Africa,2013,p3,0
Africa,2013,p4,3.318181818181817
Africa,2013,p5,0.9545454545454543
Africa,2013,p6,0
Africa,2014,p1,1.4915254237288122
Africa,2014,p2,0.3050847457627122
Africa,2014,p3,0
Africa,2014,p4,1.7966101694915262
Africa,2014,p5,0.06779661016949155
Africa,2014,p6,0
Africa,2015,p1,1.5106382978723407
Africa,2015,p2,0.27659574468085124
Africa,2015,p3,0.10638297872340427
Africa,2015,p4,2.3617021276595733
Africa,2015,p5,0.5957446808510635
Africa,2015,p6,0.042553191489361694
Africa,2016,p1,2.852459016393445
Africa,2016,p2,0.29508196721311486
Africa,2016,p3,0
Africa,2016,p4,1.2622950819672145
Africa,2016,p5,0.16393442622950827
Africa,2016,p6,0.13114754098360654
Africa,2017,p1,3.245614035087718
Africa,2017,p2,0.8245614035087717
Africa,2017,p3,0
Africa,2017,p4,2.9824561403508776
Africa,2017,p5,0.14035087719298245
Africa,2017,p6,0
Africa,2018,p1,2.7735849056603765
Africa,2018,p2,0.6037735849056605
Africa,2018,p3,0
Africa,2018,p4,0.962264150943396
Africa,2018,p5,0.4150943396226417
Africa,2018,p6,0.11320754716981135
Africa,2019,p1,3.142857142857142
Africa,2019,p2,0.6530612244897954
Africa,2019,p3,0
Africa,2019,p4,1.367346938775509
Africa,2019,p5,1.2244897959183678
Africa,2019,p6,0
Africa,2020,p1,2.5370370370370363
Africa,2020,p2,0.7777777777777773
Africa,2020,p3,0.2037037037037037
Africa,2020,p4,0.8333333333333339
Africa,2020,p5,0.4629629629629628
Africa,2020,p6,0.01851851851851854
Africa,2021,p1,1.4242424242424252
Africa,2021,p2,0.015151515151515164
Africa,2021,p3,0.03030303030303032
Africa,2021,p4,1.0454545454545445
Africa,2021,p5,0.40909090909090906
Africa,2021,p6,0
Africa,2022,p1,2.5800000000000014
Africa,2022,p2,1.7599999999999998
Africa,2022,p3,0
Africa,2022,p4,4.18
Africa,2022,p5,0.6599999999999999
Africa,2022,p6,0.01999999999999999
Africa,2023,p1,3.634920634920636
Africa,2023,p2,1.0476190476190468
Africa,2023,p3,0.03174603174603179
Africa,2023,p4,2.174603174603173
Africa,2023,p5,0.5555555555555551
Africa,2023,p6,0.03174603174603179
Africa,2024,p1,3.2264150943396235
Africa,2024,p2,0.43396226415094313
Africa,2024,p3,0
Africa,2024,p4,2.301886792452828
Africa,2024,p5,0.6603773584905657
Africa,2024,p6,0.01886792452830189
Asia,1959,p1,NA
Asia,1959,p2,NA
Asia,1959,p3,NA
Asia,1959,p4,NA
Asia,1959,p5,NA
Asia,1959,p6,NA
Asia,1960,p1,0
Asia,1960,p2,0
Asia,1960,p3,0
Asia,1960,p4,0
Asia,1960,p5,0
Asia,1960,p6,0
Asia,1961,p1,NA
Asia,1961,p2,NA
Asia,1961,p3,NA
Asia,1961,p4,NA
Asia,1961,p5,NA
Asia,1961,p6,NA
Asia,1962,p1,6
Asia,1962,p2,6
Asia,1962,p3,8
Asia,1962,p4,5
Asia,1962,p5,7
Asia,1962,p6,6
Asia,1963,p1,NA
Asia,1963,p2,NA
Asia,1963,p3,NA
Asia,1963,p4,NA
Asia,1963,p5,NA
Asia,1963,p6,NA
Asia,1964,p1,7
Asia,1964,p2,7
Asia,1964,p3,6
Asia,1964,p4,6
Asia,1964,p5,7
Asia,1964,p6,9
Asia,1965,p1,2.333333333333333
Asia,1965,p2,2.9583333333333335
Asia,1965,p3,4.666666666666667
Asia,1965,p4,4.125
Asia,1965,p5,3.625
Asia,1965,p6,3.916666666666667
Asia,1966,p1,6
Asia,1966,p2,7
Asia,1966,p3,7
Asia,1966,p4,5
Asia,1966,p5,7
Asia,1966,p6,8
Asia,1967,p1,6
Asia,1967,p2,7
Asia,1967,p3,8
Asia,1967,p4,6
Asia,1967,p5,7
Asia,1967,p6,8
